"Affiliate CronJob","Affiliate CronJob"
"New","New"
"Pending","Pending"
"Success","Success"
"Missed","Missed"
"Error","Error"
"PressLoft","PressLoft"
"Affiliate","Affiliate"
"Module Enable","Module Enable"
"Affiliate ID","Affiliate ID"
"Enter affiliate ID","Enter affiliate ID"
"ID","ID"
"Affiliate Id","Affiliate Id"
"Status","Status"
"Created At","Created At"
"Updated At","Updated At"
"Failures num","Failures num"
"Affiliate is disabled.","Affiliate is disabled."
"Affiliate cookie has been added.","Affiliate cookie has been added."
"Affiliate cookie not added.","Affiliate cookie not added."
"An error occurred while saving the Affiliate Schedule","An error occurred while saving the Affiliate Schedule"
